ticker,cik,10-K #1 Filing Date,10-K #1 Period,10-K #2 Filing Date,10-K #2 Period,10-Q #1 Filing Date,10-Q #1 Period,10-Q #2 Filing Date,10-Q #2 Period,10-Q #3 Filing Date,10-Q #3 Period,10-Q #4 Filing Date,10-Q #4 Period,10-Q #5 Filing Date,10-Q #5 Period,10-Q #6 Filing Date,10-Q #6 Period
hlt,0001585689,2020-02-11,2019-12-31,2019-02-13,2018-12-31,2020-05-07,2020-03-31,2019-10-23,2019-09-30,2019-07-24,2019-06-30,2019-05-01,2019-03-31,2018-10-24,2018-09-30,2018-07-25,2018-06-30
hfc,0000048039,2020-02-20,2019-12-31,2019-02-20,2018-12-31,2020-05-07,2020-03-31,2019-10-31,2019-09-30,2019-08-01,2019-06-30,2019-05-02,2019-03-31,2018-10-31,2018-09-30,2018-08-02,2018-06-30
holx,0000859737,2019-11-27,2019-09-28,2018-11-20,2018-09-29,2020-04-29,2020-03-28,2020-01-29,2019-12-28,2019-07-31,2019-06-29,2019-05-01,2019-03-30,2019-01-30,2018-12-29,2018-07-31,2018-06-30
hd,0000354950,2020-03-25,2020-02-02,2019-03-28,2019-02-03,2020-05-27,2020-05-03,2019-11-26,2019-11-03,2019-08-27,2019-08-04,2019-05-29,2019-05-05,2018-11-20,2018-10-28,2018-08-21,2018-07-29
hon,0000773840,2020-02-14,2019-12-31,2019-02-08,2018-12-31,2020-05-01,2020-03-31,2019-10-17,2019-09-30,2019-07-18,2019-06-30,2019-04-18,2019-03-31,2018-10-19,2018-09-30,2018-07-20,2018-06-30
hrl,0000048465,2019-12-06,2019-10-27,2018-12-07,2018-10-28,2020-06-02,2020-04-26,2020-03-03,2020-01-26,2019-09-03,2019-07-28,2019-06-04,2019-04-28,2019-03-05,2019-01-27,2018-09-07,2018-07-29
hst,0001070750,2020-02-25,2019-12-31,2019-02-26,2018-12-31,2020-05-08,2020-03-31,2019-11-07,2019-09-30,2019-08-08,2019-06-30,2019-05-03,2019-03-31,2018-11-05,2018-09-30,2018-08-08,2018-06-30
hwm,0000004281,2020-02-27,2019-12-31,2019-02-21,2018-12-31,2020-05-07,2020-03-31,2019-11-05,2019-09-30,2019-08-02,2019-06-30,2019-05-01,2019-03-31,2018-11-01,2018-09-30,2018-08-02,2018-06-30
hpq,0000047217,2019-12-12,2019-10-31,2018-12-13,2018-10-31,2020-06-05,2020-04-30,2020-03-05,2020-01-31,2019-08-29,2019-07-31,2019-05-30,2019-04-30,2019-03-05,2019-01-31,2018-08-28,2018-07-31
hum,0000049071,2020-02-20,2019-12-31,2019-02-21,2018-12-31,2020-04-29,2020-03-31,2019-11-06,2019-09-30,,,,,,,,
